n,g,steps,dt,target_depth,ansatz_depth,compression_ratio,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
8,0.3,6,0.1,24,6,4,0.06739354685982403,0.06128333750786251,1.034494530841437,1.292467233833732,0.2579727029922949,0,12.146807166049257
8,0.3,6,0.1,24,3,8,0.009540847476129393,0.008997470996018646,0.14820010286830285,0.18998741187663812,0.04178730900833527,0,3.5477147919591516
8,0.3,8,0.1,32,16,2,0.12768634598861697,0.1222294760739671,0.49891867977021104,2.774323290121611,2.2754046103514,0,46.8571166661568
8,0.3,8,0.1,32,8,4,0.026919391755422566,0.025773618668688214,0.4749829608675354,1.4667526445012091,0.9917696836336738,0,18.328902792185545
8,0.3,8,0.1,32,4,8,0.0372654495101204,0.03636851328602242,0.5810876003250441,11.194524841110717,10.613437240785672,0,6.652385000139475
8,1.0,2,0.1,8,4,2,0.008736869289043277,0.00838919603786056,0.1420841139239641,0.14314478079532852,0.001060666871364413,0,2.232349040918052
8,1.0,2,0.1,8,2,4,0.010083396186012537,0.009485994513298674,0.15356330799799328,0.15356330800150983,3.5165481637733365e-12,1,0.773165374994278
8,1.0,2,0.1,8,1,8,0.3766182913039174,0.36056841932024386,5.424498922915765,20.376247212453546,14.95174828953778,0,0.36979316594079137
8,1.0,4,0.1,16,8,2,0.052395499438138676,0.04961800303492873,0.8428271844468961,1.167339444373203,0.32451225992630695,0,14.793008084176108
8,1.0,4,0.1,16,4,4,0.05045196659686334,0.047353680037772,0.8420913193471812,1.1348152724210807,0.29272395307389953,0,4.997856916161254
8,1.0,4,0.1,16,2,8,0.09205346402992008,0.08649980893345166,1.3901347446438543,1.3901347446441406,2.8621549574836536e-13,1,1.2930721249431372
8,1.0,6,0.1,24,12,2,0.04869566993467525,0.04774587251537307,0.43501252042739336,0.7823831954972533,0.34737067506985997,0,29.911484916927293
8,1.0,6,0.1,24,6,4,0.016882970928075742,0.016198913840964998,0.42965048663145455,0.6835316127665881,0.2538811261351336,0,12.413386667147279
8,1.0,6,0.1,24,3,8,0.027652127946252124,0.02581087064673148,0.4687664780476712,0.8888015180290992,0.42003503998142805,0,3.4452536671888083
8,1.0,8,0.1,32,16,2,0.05938379233324286,0.05550335756441902,0.3414907273898343,1.4772103469929545,1.1357196196031203,0,47.12289054202847
8,1.0,8,0.1,32,8,4,0.015061773967887411,0.0141629008874558,0.28562855069672216,0.34123266233297855,0.05560411163625639,0,18.203466415870935
8,1.0,8,0.1,32,4,8,0.021508076684589837,0.020798631783380407,0.329735158727195,10.434611424272152,10.104876265544958,0,6.552274666028097
8,1.5,2,0.1,8,4,2,0.0132884017279698,0.012792560892282806,0.2112510305405838,12.246394255237442,12.035143224696858,0,2.247721750056371
8,1.5,2,0.1,8,2,4,0.014979073347125761,0.014124316681487037,0.22825273021770554,0.22825273021907524,1.3697099010556713e-12,1,0.7685487500857562
8,1.5,2,0.1,8,1,8,0.3540962385394049,0.32872223764683334,5.358565816117428,5.358565816117439,1.0658141036401503e-14,1,0.3887726250104606
8,1.5,4,0.1,16,8,2,0.04709396606081209,0.04525169729353668,0.966428568815149,1.017201699474492,0.05077313065934286,0,16.44767666608095
8,1.5,4,0.1,16,4,4,0.07576281955411003,0.07281795867671377,1.134061987313904,11.55268281846964,10.418620831155735,0,5.734516292111948
8,1.5,4,0.1,16,2,8,0.12929910743106837,0.12068032067754764,1.9415427821235824,1.9415427821238311,2.4868995751603507e-13,1,1.7658997499383986
8,1.5,6,0.1,24,12,2,0.026984958808387985,0.025533397903562148,0.2952656002301416,0.8126561596703112,0.5173905594401697,0,30.16292608412914
8,1.5,6,0.1,24,6,4,0.018740551505296462,0.01805632841487801,0.29318910949981764,1.0785886526361366,0.785399543136319,0,12.595638709142804
8,1.5,6,0.1,24,3,8,0.038566914734034875,0.03708112191623601,0.5884843188870654,13.126176349218076,12.53769203033101,0,3.601448250003159
8,1.5,8,0.1,32,16,2,0.14569857918769552,0.13725542460550702,0.6901005441817245,2.2364319277388676,1.546331383557143,0,47.63402462517843
8,1.5,8,0.1,32,8,4,0.03376222469682273,0.03269951589223427,0.6662006926441792,0.7453954509654599,0.07919475832128064,0,17.830582125112414
8,1.5,8,0.1,32,4,8,0.05679247696414398,0.055010745475980005,0.8680072004155539,13.146747824233884,12.27874062381833,0,6.443497291998938
10,0.3,2,0.1,8,4,2,0.002557185161680415,0.0025166930651560593,0.07996749204630041,24.482879798178388,24.402912306132087,0,3.034887542016804
10,0.3,2,0.1,8,2,4,0.0034116752349331934,0.003341938935774146,0.10710043245342046,0.10710043245660494,3.184480457107952e-12,1,0.9901793750468642
10,0.3,2,0.1,8,1,8,0.4239321415117692,0.41514781887535224,12.577656361679605,40.80780394300638,28.230147581326772,0,0.4767218749038875
10,0.3,4,0.1,16,8,2,0.023184113634174684,0.022493537571229724,0.780161256396678,0.9147231024592728,0.1345618460625948,0,15.629078125115484
10,0.3,4,0.1,16,4,4,0.026455106107152508,0.02582746118495246,0.8455926691221519,0.9673731216931013,0.12178045257094938,0,5.566833583870903
10,0.3,4,0.1,16,2,8,0.03234156559307021,0.03171166193040341,1.0154766544783462,1.0154766544800256,1.6793233470480118e-12,1,1.5492358331102878
10,0.3,6,0.1,24,12,2,0.07005134980612726,0.06875040276506504,1.8298966384403552,2.347384702010718,0.5174880635703627,0,46.03297870908864
10,0.3,6,0.1,24,6,4,0.07175426198831199,0.06988525783930104,2.400396481687945,24.598693365772498,22.198296884084552,0,18.654323207912967
10,0.3,6,0.1,24,3,8,0.012646702118452261,0.012242689236926296,0.3977081597010959,0.43732934970575704,0.03962119000466113,0,5.556957874912769
10,0.3,8,0.1,32,16,2,0.067495263163004,0.06456007331905862,2.0771701055504286,2.8736420227874335,0.796471917237005,0,70.64392800000496
10,0.3,8,0.1,32,8,4,0.04759424681734632,0.04673340474731882,1.6331525886264466,4.507684020801565,2.8745314321751185,0,27.579846874810755
10,0.3,8,0.1,32,4,8,0.13447318695831878,0.13187165093057662,3.9566526395522885,22.561891407856216,18.605238768303927,0,10.10309583391063
10,1.0,2,0.1,8,4,2,0.008581966949566446,0.008368955636346357,0.26321212746211176,24.450532800810574,24.187320673348463,0,2.880333458073437
10,1.0,2,0.1,8,2,4,0.01130792276739032,0.01106253407588467,0.3546268704972019,0.35462687049912534,1.9234613901630837e-12,1,0.9890570000279695
10,1.0,2,0.1,8,1,8,0.4212947242052887,0.4119513004048951,12.466413654112296,40.845206416397986,28.37879276228569,0,0.4809502079151571
10,1.0,4,0.1,16,8,2,0.05267243056725254,0.05109072926606826,1.8311336914757905,2.790501570883286,0.9593678794074953,0,21.7561512500979
10,1.0,4,0.1,16,4,4,0.06632634317794367,0.06479512131518113,2.0528627876676397,23.529929551887495,21.477066764219856,0,8.020480041857809
10,1.0,4,0.1,16,2,8,0.10267426677986224,0.09999870253988477,3.207815564746634,3.2078155647471305,4.9649173661237e-13,1,2.0964265421498567
10,1.0,6,0.1,24,12,2,0.06882255298890547,0.06688964437896208,1.7427103150684597,2.6360621032710205,0.8933517882025608,0,46.30992395803332
10,1.0,6,0.1,24,6,4,0.05340309654664944,0.05056080726105353,1.755410849759712,5.053898533182114,3.298487683422402,0,18.680967416847125
