n,g,steps,dt,target_depth,ansatz_depth,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
6,0.3,4,0.1,16,10,0.017013872585431307,0.015474295567684187,0.12610768837713476,0.15501000743999316,0.028902319062858395,0,7.155242666834965
6,0.3,4,0.1,16,12,0.018524086491461235,0.016770278306977547,0.12182792570142596,0.13573603632374648,0.013908110622320516,0,8.537095332983881
6,0.3,6,0.1,24,2,0.07789851625280642,0.06799311187127097,0.5740923856638663,0.5740923856639777,1.113553693699032e-13,1,1.2355880830436945
6,0.3,6,0.1,24,4,0.06210218531863841,0.054383214210617606,0.4730439322511334,0.5502074664398241,0.07716353418869071,0,3.8315789580810815
6,0.3,6,0.1,24,5,0.008096789476646842,0.007634969464345177,0.059366431801077986,1.5381546452287695,1.4787882134276915,0,4.872371250065044
6,0.3,6,0.1,24,8,0.04182261176152565,0.03588985790669138,0.32361586457858815,0.46882267257941573,0.14520680800082758,0,9.063426041975617
6,0.3,6,0.1,24,10,0.033551130645630416,0.03083933650995474,0.2641976409946212,0.45061435602335076,0.18641671502872958,0,11.664787416812032
6,0.3,8,0.1,32,2,0.1575590892697103,0.14242572408329024,1.2121291038686342,1.2121291038687398,1.056932319443149e-13,1,0.7875243329908699
6,0.3,8,0.1,32,3,0.021069767023097652,0.018987138184416764,0.15815440852403104,0.19266194943539525,0.03450754091136421,0,2.277360541978851
6,0.3,8,0.1,32,5,0.017632960295257932,0.01656037974784073,0.1333191861224822,0.19876453069782363,0.06544534457534143,0,4.396886291913688
6,0.3,8,0.1,32,6,0.01666039371785693,0.01593363515136664,0.1910627871546435,0.42544313683794094,0.23438034968329743,0,5.914816833101213
6,0.3,8,0.1,32,10,0.050361451962471854,0.04511299094517417,0.4502417088929892,0.7616701598728363,0.31142845097984706,0,11.516279458068311
6,0.3,8,0.1,32,12,0.03667219968042432,0.033576848915061054,0.32041405598070144,0.7941462529391387,0.4737321969584372,0,14.429021666990593
6,0.3,12,0.1,48,2,0.3663172015293601,0.3221011657950532,2.83639931566629,2.8363993156663074,1.7319479184152442e-14,1,1.2911820830777287
6,0.3,12,0.1,48,3,0.029206405697589505,0.026721597889112374,0.21980001343384542,0.8621912849282309,0.6423912714943856,0,2.312832332914695
6,0.3,12,0.1,48,4,0.011390054412375922,0.010493828911665769,0.15159327706059358,0.1882531559896267,0.03665987892903311,0,3.161406916100532
6,0.3,12,0.1,48,5,0.023232755095439567,0.021225150717137427,0.1871365326165546,0.5019120389339072,0.3147755063173526,0,5.254723124904558
6,0.3,12,0.1,48,6,0.007563792386703385,0.00687875301207181,0.1393135122058964,0.1841709135665903,0.04485740136069388,0,6.472799124894664
6,0.3,12,0.1,48,8,0.011297924079718143,0.010299960193014587,0.10188887901787022,0.21594417371156768,0.11405529469369746,0,9.226100750034675
6,0.3,12,0.1,48,10,0.020131412492501666,0.018610330678657538,0.1468011899078322,0.22781400567006366,0.08101281576223146,0,12.173232165863737
6,0.3,12,0.1,48,12,0.020688588943170133,0.01967121134901737,0.13226213788777913,0.23283502987982718,0.10057289199204805,0,13.91932591702789
6,0.3,16,0.1,64,2,0.47131236412180305,0.4134198811695188,3.5947877251964484,3.59478772519647,2.1760371282653068e-14,1,8.035293041961268
6,0.3,16,0.1,64,3,0.0685994715481846,0.060233669295923234,0.4893903264658947,0.4893903264663593,4.64628335805628e-13,1,5.677900249836966
6,0.3,16,0.1,64,4,0.026027006938836934,0.02227714357796979,0.17730707889145558,0.2368998209255379,0.059592742034082324,0,7.153617332922295
6,0.3,16,0.1,64,5,0.03136146411732458,0.028823362998161035,0.23696490188852978,0.4873562996719628,0.250391397783433,0,8.071099041029811
6,0.3,16,0.1,64,6,0.014989234820211006,0.01370056895446041,0.12980449232377864,0.17761501120505552,0.04781051888127688,0,9.152228124905378
6,0.3,16,0.1,64,8,0.018043572416089372,0.015751914475107747,0.16985472466969045,0.2047575494402477,0.034902824770557256,0,12.47221833281219
6,0.3,16,0.1,64,10,0.01655844488984847,0.014506010620966129,0.13510769524729532,0.20733697484535207,0.07222927959805675,0,15.156514625065029
6,0.3,16,0.1,64,12,0.016430626900383563,0.015484196699903082,0.12571647034371283,0.1657412652943656,0.04002479495065275,0,17.618916708044708
6,1.0,4,0.1,16,3,0.029143918805558347,0.02683633452031896,0.2171858940894323,0.22728273851639524,0.010096844426962931,0,2.4180641670245677
6,1.0,4,0.1,16,5,0.02060409429496681,0.019315018380687107,0.17208678136632394,0.2052362469508932,0.03314946558456927,0,4.1550389169715345
6,1.0,4,0.1,16,6,0.039138526244476404,0.033520485322275514,0.29508748180235006,0.5047716865572554,0.2096842047549053,0,5.041324374964461
6,1.0,4,0.1,16,10,0.0266249589326998,0.024119685388921914,0.20362630941722823,0.37471058180416084,0.1710842723869326,0,8.889899667119607
6,1.0,4,0.1,16,12,0.051026563967837335,0.04581133524818271,0.3288783841577438,0.43517721057542524,0.10629882641768146,0,11.320216624997556
6,1.0,6,0.1,24,2,0.22909956167976292,0.2027022160767798,1.6790374728903117,1.6790374728903668,5.5067062021407764e-14,1,0.7977167500648648
6,1.0,6,0.1,24,4,0.006648234051186556,0.006066522964665456,0.05370912067469419,0.3009008018567404,0.2471916811820462,0,3.0114682079292834
6,1.0,6,0.1,24,5,0.021853115716592795,0.019520007957365196,0.15995728040504478,4.6509437453849625,4.490986464979918,0,4.630705292103812
6,1.0,6,0.1,24,8,0.014960333612447104,0.01429687558362214,0.15932520055198743,0.8142647672077259,0.6549395666557385,0,8.429481707978994
6,1.0,6,0.1,24,10,0.03694410159504066,0.035072135092485204,0.17057686274457176,0.3627960946718502,0.19221923192727844,0,10.75484245782718
6,1.0,8,0.1,32,2,0.435550123162135,0.3868850841093365,3.2098581671068747,3.2098581671068875,1.2878587085651816e-14,1,0.6372124589979649
6,1.0,8,0.1,32,3,0.04574258352914837,0.04221269707289349,0.34454966405688076,0.3445979197028346,4.825564595384302e-05,0,1.7481789998710155
6,1.0,8,0.1,32,5,0.03250672853088429,0.02938037928522136,0.2510061886178289,0.32323529937306805,0.07222911075523913,0,4.718815915985033
6,1.0,8,0.1,32,6,0.011596307309927754,0.010388954160311038,0.1162106800796362,0.1348681948660816,0.018657514786445395,0,5.689257292076945
6,1.0,8,0.1,32,10,0.015394723795540487,0.014028850036394891,0.12553431827646847,0.14631056048347865,0.020776242207010187,0,11.443051000125706
6,1.0,8,0.1,32,12,0.02552174194493355,0.022240447299308,0.11690816117639405,0.1896677970001951,0.07275963582380104,0,14.205265916883945
6,1.0,12,0.1,48,2,0.7475494859791092,0.72212159935604,6.202723676828497,8.12063697767701,1.9179133008485136,0,0.8311232500709593
6,1.0,12,0.1,48,3,0.21475523894872425,0.2015158438258992,1.6478040364174713,6.282608380776146,4.634804344358675,0,2.0291347911115736
6,1.0,12,0.1,48,4,0.04879489253545481,0.04348700943753202,0.34111238804805866,0.5704764097129018,0.22936402166484315,0,3.44985150010325
6,1.0,12,0.1,48,5,0.040135939402422965,0.036752148584183145,0.3056866491851772,1.4850008753885404,1.1793142262033633,0,5.12181895901449
6,1.0,12,0.1,48,6,0.04415813457653306,0.040077088248464995,0.3719995070316012,0.8377813343945014,0.46578182736290025,0,6.399982749950141
6,1.0,12,0.1,48,8,0.015992297943795232,0.015126129910264064,0.13405192406717278,0.5378254312173383,0.40377350715016547,0,9.284509666962549
6,1.0,12,0.1,48,10,0.06375131014980516,0.05863996849636893,0.39591469049802874,0.6854358927066516,0.2895212022086229,0,12.100716958055273
6,1.0,12,0.1,48,12,0.04406812527337528,0.03880156631050195,0.21039973319654168,0.6846560580224094,0.47425632482586766,0,14.413151040906087
6,1.0,16,0.1,64,2,0.8486754699712606,0.8242598310104778,7.933012415397293,9.113479201109824,1.1804667857125306,0,4.418482499895617
6,1.0,16,0.1,64,3,0.515201661140307,0.47210407256089093,3.9218173099485476,6.939473901468087,3.0176565915195397,0,5.671983166830614
6,1.0,16,0.1,64,4,0.16268756381096933,0.1523590157360892,1.2362789268471053,4.843183274083161,3.606904347236056,0,7.237895374884829
6,1.0,16,0.1,64,5,0.04908472891684079,0.04599884877637319,0.39705677771710723,3.921869747532747,3.5248129698156396,0,8.883369500050321
6,1.0,16,0.1,64,6,0.02594438788378977,0.024021039250947403,0.2632362064994337,1.9087930518835603,1.6455568453841267,0,9.445611959090456
6,1.0,16,0.1,64,8,0.05062074757594488,0.047880234560503325,0.4108385374734205,0.5994529828000397,0.1886144453266192,0,12.566483499947935
6,1.0,16,0.1,64,10,0.04370106325607683,0.0392419460351182,0.29867419803044465,0.844905698436728,0.5462315004062834,0,15.576764041092247
6,1.0,16,0.1,64,12,0.06554380900498072,0.057288669219071,0.2989778173882792,0.5508469906642149,0.2518691732759357,0,17.828652458963916
6,1.5,4,0.1,16,3,0.060192675012898184,0.05594626967132108,0.4579470461041048,0.48904618207482375,0.03109913597071895,0,2.699184041004628
6,1.5,4,0.1,16,5,0.03283564801059573,0.030565182643158117,0.2765358711256386,0.4197710559449138,0.14323518481927522,0,4.831471625017002
6,1.5,4,0.1,16,6,0.03449366921111066,0.030796603577851717,0.30651529708099634,0.42923734356920956,0.12272204648821322,0,5.668687791097909
6,1.5,4,0.1,16,10,0.04478991068580685,0.04172906494598622,0.35111720788214207,0.4464061124781061,0.09528890459596401,0,10.267284790985286
6,1.5,4,0.1,16,12,0.03671990103684207,0.03326955903616137,0.2733708248492782,0.5576777206341431,0.2843068957848649,0,12.426133709028363
6,1.5,6,0.1,24,2,0.2920496629408984,0.26145336261856966,2.1211569341352527,2.1211569341353265,7.37188088351104e-14,1,0.7975380409043282
6,1.5,6,0.1,24,4,0.010842971511665706,0.00976561297039965,0.07905756955974481,0.11340965177005842,0.034352082210313606,0,3.2077737499494106
6,1.5,6,0.1,24,5,0.025229037047328658,0.022347293217902818,0.18299372826440397,4.616241746062096,4.433248017797692,0,4.612485042074695
6,1.5,6,0.1,24,8,0.012575811512944016,0.011508327225381759,0.10771225407779607,0.1674981882325286,0.05978593415473253,0,8.331959791947156
6,1.5,6,0.1,24,10,0.018565949511370555,0.016714149974878502,0.14465547548455474,0.2353724948303498,0.09071701934579507,0,10.672252458054572
6,1.5,8,0.1,32,2,0.4682858400925325,0.4371958402869982,3.575167176817828,3.5751671768178457,1.7763568394002505e-14,1,0.639265334000811
6,1.5,8,0.1,32,3,0.0869496449773684,0.08297082531813815,0.6834959982212581,0.6834960170964917,1.887523359833665e-08,1,1.842644833959639
6,1.5,8,0.1,32,5,0.055236686813551185,0.04896618030211273,0.41701707967712015,3.114391069048613,2.697373989371493,0,4.751955667044967
6,1.5,8,0.1,32,6,0.02262644288429695,0.02017119258859744,0.16427568631128422,0.3276717724546651,0.1633960861433809,0,5.9734653329942375
6,1.5,8,0.1,32,10,0.027939564154324425,0.02595662397123378,0.20193220189716182,0.3310101585233027,0.12907795662614086,0,11.52919637504965
6,1.5,8,0.1,32,12,0.026940496128899122,0.02482402887241512,0.14895556692155285,0.30540763925366643,0.15645207233211358,0,13.8720519579947
6,1.5,12,0.1,48,2,0.7235243130994722,0.657373008486439,5.610662495065856,5.610662495065863,6.217248937900877e-15,1,0.8525581250432879
6,1.5,12,0.1,48,3,0.3353452030745863,0.29525949272944435,2.4044815329324845,2.4044815329522864,1.9801937867214292e-11,1,2.152801792137325
6,1.5,12,0.1,48,4,0.09593874966004422,0.08759315749319493,0.7000582038521939,0.7847716540256081,0.08471345017341425,0,3.7988122501410544
6,1.5,12,0.1,48,5,0.040968857132631126,0.035254252558153315,0.2665019852023219,4.32997256711103,4.063470581908708,0,5.11837924993597
6,1.5,12,0.1,48,6,0.041688139452305,0.038578733327433515,0.36965119130542307,1.4971521592968042,1.1275009679913812,0,6.394561582943425
6,1.5,12,0.1,48,8,0.01647533236677745,0.015236705256542915,0.12523770912593363,0.3792619640222012,0.25402425489626757,0,9.145011416869238
6,1.5,12,0.1,48,10,0.1441223553023611,0.13338454865027632,0.3086319820613811,1.432935616550106,1.124303634488725,0,11.665971250040457
6,1.5,12,0.1,48,12,0.020886095755483527,0.01906953478359271,0.17177920283063125,0.6936036099293026,0.5218244070986713,0,14.41604720801115
6,1.5,16,0.1,64,2,0.8726360762111234,0.8095950764159976,7.419759154083955,7.419759154083969,1.3322676295501878e-14,1,4.228011041879654
6,1.5,16,0.1,64,3,0.5136782304303069,0.4702555008290642,3.9004447721857796,3.9004447742817745,2.0959949331711414e-09,1,6.039392457809299
6,1.5,16,0.1,64,4,0.28481990802125606,0.2498645023097544,2.075485980030785,2.0754860139594795,3.392869452056857e-08,1,7.134053792105988
6,1.5,16,0.1,64,5,0.08471785849889668,0.07905848377488381,0.7476538165059228,6.632241969136224,5.884588152630301,0,8.381294958060607
6,1.5,16,0.1,64,6,0.06250095064331293,0.058934496973786,0.6315329231852689,3.6495360370413903,3.018003113856121,0,9.589084500214085
6,1.5,16,0.1,64,8,0.06097887020983912,0.05687027890426445,0.6570297320374249,1.5695751298969474,0.9125453978595225,0,12.518658084096387
6,1.5,16,0.1,64,10,0.04473209782822525,0.042394080287169914,0.5395739967292155,0.6812429370063688,0.14166894027715338,0,15.25280029210262
