config_label,n,g,steps,ansatz_d,drop_rate,init_seed,seed,target_depth,final_cost,elapsed_s,last10_std
overparam_g1,10,1.0,8,10,0.0,4,4000,32,0.0008220059998984564,12.632767250062898,5.103995140277247e-05
overparam_g1,10,1.0,8,10,0.05,4,4050,32,0.000958470310387538,12.49245920800604,4.9539406350530164e-05
overparam_g1,10,1.0,8,10,0.1,4,4100,32,0.0009253025046296326,12.260337957879528,3.960741256835959e-05
overparam_g1,10,1.0,8,10,0.15,4,4150,32,0.0003638264641627753,12.031717792153358,2.0333119248803503e-05
overparam_g1,10,1.0,8,10,0.2,4,4200,32,0.0012279291134447146,11.913042957894504,7.450111338261604e-05
overparam_g1,10,1.0,8,10,0.25,4,4250,32,0.0009590804958403698,12.248612832976505,3.282982584301455e-05
overparam_g1,10,1.0,8,10,0.3,4,4300,32,0.0005009889551736979,12.266097458079457,1.7908708259175736e-05
overparam_g1,10,1.0,8,10,0.4,4,4400,32,0.006805695626132646,12.234644582960755,0.00033295944734151704
overparam_g1,10,1.0,8,10,0.5,4,4500,32,0.0011814666870908486,12.246324457926676,8.19291557242438e-05
overparam_g1,10,1.0,8,10,0.7,4,4700,32,0.0004346770762637675,12.548989791888744,8.739741404787788e-06
overparam_g1,10,1.0,8,10,0.0,5,5000,32,0.0007532953806907994,13.4628200000152,2.2265801820015648e-05
overparam_g1,10,1.0,8,10,0.05,5,5050,32,0.000779256875065748,13.417166749946773,2.68154963146826e-05
overparam_g1,10,1.0,8,10,0.1,5,5100,32,0.0013584740646102045,13.289700999855995,0.00010815461399432284
overparam_g1,10,1.0,8,10,0.15,5,5150,32,0.0005948813439780043,13.375792208127677,7.1462707043490565e-06
overparam_g1,10,1.0,8,10,0.2,5,5200,32,0.000514339044225709,13.083228332921863,1.3630213493375402e-05
overparam_g1,10,1.0,8,10,0.25,5,5250,32,0.0006347375856419202,13.21116437506862,2.6160799442513453e-05
overparam_g1,10,1.0,8,10,0.3,5,5300,32,0.000798785312881467,13.065928041003644,4.1051300778796106e-05
overparam_g1,10,1.0,8,10,0.4,5,5400,32,0.0006988978718671657,12.584303917130455,1.109866972186686e-05
overparam_g1,10,1.0,8,10,0.5,5,5500,32,0.00045139983993025545,12.638782999943942,1.3510166308487016e-05
overparam_g1,10,1.0,8,10,0.7,5,5700,32,0.0008079762387209755,11.943902916042134,7.368994716226582e-05
overparam_g15,4,1.5,16,8,0.0,1,1000,64,0.0012287710909451022,20.76030108309351,2.7880608062175103e-09
overparam_g15,4,1.5,16,8,0.05,1,1050,64,0.0012282748068146443,1.2184025410097092,2.637068933121199e-09
overparam_g15,4,1.5,16,8,0.1,1,1100,64,0.001228742201087707,1.2562697499524802,2.7920593661414608e-09
overparam_g15,4,1.5,16,8,0.15,1,1150,64,0.001228768652158596,1.3601078339852393,2.7868618326351937e-09
overparam_g15,4,1.5,16,8,0.2,1,1200,64,0.001228281996719316,0.893916416913271,2.6530442010830514e-09
overparam_g15,4,1.5,16,8,0.25,1,1250,64,0.001228640155687577,0.8583223330788314,2.817540884728102e-09
overparam_g15,4,1.5,16,8,0.3,1,1300,64,0.001228271238432388,0.851433957926929,2.7031127010392972e-09
overparam_g15,4,1.5,16,8,0.4,1,1400,64,0.001249197868914198,1.0619715829379857,1.9692848197049233e-08
overparam_g15,4,1.5,16,8,0.5,1,1500,64,0.0012176706485540478,1.1104890420101583,3.0692636574014e-09
overparam_g15,4,1.5,16,8,0.7,1,1700,64,0.001227900349878075,0.9972098327707499,2.1524120043156612e-09
overparam_g15,4,1.5,16,8,0.0,2,2000,64,0.0012565486629336764,1.116935000056401,8.383297616265412e-07
overparam_g15,4,1.5,16,8,0.05,2,2050,64,0.001256548777326616,1.0751064999494702,8.383412640842931e-07
